Model,MAE,RMSE,R2,MAPE,MAE_improvement_percent,RMSE_improvement_percent
Ridge_Regression,52.898337945179435,70.55505803516162,0.2617393432903482,31.71913411581963,16.41231996714798,19.56477504116498
LightGBM,56.307803242164724,74.46138364784828,0.17772777277686336,34.0519492307519,11.024829444801806,15.111427709747247
HistGradientBoosting,57.905569912292805,76.54550075746734,0.13105406701577604,34.490750092585955,8.500107225207154,12.735461574630142
Extra_Trees,58.448178993809165,75.09234270284499,0.16373345170313536,37.53977235177816,7.642699676113404,14.392112398530552
Random_Forest,58.60145550849678,77.71086774870636,0.10439412297671358,36.877246707443035,7.40049871547951,11.406902592321638
XGBoost_Default,59.10925789320746,76.6824920135911,0.1279410293296278,37.12678529530586,6.598091212674705,12.579286768591192
Persistence_Baseline,63.284850021425505,87.71661678234896,-0.1410828105064157,35.95020613659891,0.0,0.0
